model_name,accuracy,f1,auroc,average_precision,precision,recall,true_negatives,false_positives,false_negatives,true_positives,n_train,n_test,positive_rate_train,positive_rate_test
random_forest,0.9226163058498388,0.7844772289929441,0.9689583593025027,0.8663118157676684,0.8274695534506089,0.7457317073170732,6789,255,417,1223,35827,8684,0.1831021296787339,0.1888530631045601
gradient_boosting,0.9215799170888991,0.7816607887143315,0.9703681389454439,0.8823408699810571,0.8242055442866801,0.7432926829268293,6784,260,421,1219,35827,8684,0.1831021296787339,0.1888530631045601
xgboost,0.9210041455550437,0.7866915422885572,0.967839694048559,0.8771524970353625,0.8026649746192893,0.7713414634146342,6733,311,375,1265,35827,8684,0.1831021296787339,0.1888530631045601
catboost,0.9134039613081529,0.7900614182021217,0.9682748507638398,0.878621110721765,0.7286302780638517,0.8628048780487805,6517,527,225,1415,35827,8684,0.1831021296787339,0.1888530631045601
